transaction_id,customer_id,transaction_date,transaction_time,hour_of_day,is_weekend,is_night_transaction,country,city,merchant_category,payment_method,device_type,customer_age,credit_score,account_age_years,account_balance,transaction_amount,num_prev_transactions,transaction_freq_monthly,distance_from_home_km,time_since_last_txn_hrs,is_international,failed_attempts,pin_changed_recently,is_fraud,fraud_type
TXN0000000001,CUST00121959,17-08-2023,21:13:00,21,0,0,USA,London,Grocery,Bank Transfer,POS Terminal,18,695,7.2,369.36,39.49,157,23,52.7,10.2,0,0,0,0,None
TXN0000000002,CUST00146868,06-02-2024,05:16:00,5,0,1,UK,New York,Healthcare,Cheque,Desktop,30,600,8.6,2681.99,153.71,153,23,0.9,12.47,0,0,0,0,None
TXN0000000003,CUST00131933,28-06-2024,12:15:00,12,0,0,Canada,Delhi,Grocery,Crypto,Mobile,20,711,10.8,44590.64,118.2,161,20,9.2,0.08,0,1,0,0,None
TXN0000000004,CUST00103695,16-03-2023,02:53:00,2,0,1,France,Tokyo,Utilities,Debit Card,Mobile,29,711,7.3,1213.37,49.5,160,25,14.8,17.94,1,0,1,1,Synthetic Identity
TXN0000000005,CUST00119880,12-07-2024,12:39:00,12,0,0,Canada,Melbourne,Clothing,Debit Card,Desktop,49,751,11.8,34615.01,30.74,134,18,38.9,2.16,0,0,0,0,None
TXN0000000006,CUST00110269,26-06-2024,04:28:00,4,0,1,Canada,Guadalajara,Crypto Exchange,Debit Card,Mobile,22,681,3.7,11181.08,35.36,157,19,23,31.46,0,2,0,1,Friendly Fraud
TXN0000000007,CUST00054887,05-09-2020,19:22:00,19,1,0,USA,Mumbai,Education,Debit Card,Mobile,56,733,4.6,11202.02,92.53,178,14,5,7.5,1,0,1,0,None
TXN0000000008,CUST00137338,02-09-2024,14:02:00,14,0,0,UK,Melbourne,Grocery,Crypto,POS Terminal,47,658,0.9,19545.95,23.12,145,19,6,6.4,0,0,0,0,None
TXN0000000009,CUST00168267,07-12-2021,03:23:00,3,0,1,USA,Melbourne,Online Shopping,Debit Card,Mobile,48,656,4.5,1061.08,330.47,164,23,27.8,47.27,0,0,0,0,None
TXN0000000010,CUST00087499,30-03-2020,21:08:00,21,0,0,Mexico,Mumbai,Crypto Exchange,Credit Card,Mobile,70,836,0.7,7888.36,139.81,154,29,1.2,16.54,0,0,0,0,None
TXN0000000011,CUST00112728,05-03-2020,03:16:00,3,0,1,USA,London,Clothing,Credit Card,Mobile,42,698,3.3,6556.74,229.42,166,23,16.9,1.34,0,0,0,0,None
TXN0000000012,CUST00126325,04-10-2023,03:39:00,3,0,1,India,Paris,Online Shopping,Debit Card,Desktop,51,738,1.1,5857.9,12.66,156,27,22.2,11.97,0,0,0,0,None
TXN0000000013,CUST00175204,08-11-2021,13:41:00,13,0,0,USA,Mexico City,Jewelry,Debit Card,POS Terminal,36,687,6.4,28616.67,199.91,164,21,22.8,10.46,0,0,0,0,None
TXN0000000014,CUST00191336,14-01-2022,07:45:00,7,0,0,USA,New York,Electronics,Crypto,ATM,54,595,2.7,1722.73,146.68,144,26,2.9,22.51,0,0,0,0,None
TXN0000000015,CUST00016024,20-11-2023,01:26:00,1,0,1,Germany,Munich,ATM Withdrawal,Debit Card,ATM,44,539,4.1,17352.81,31.79,140,21,67.8,18.51,0,0,0,0,None
TXN0000000016,CUST00041091,05-11-2024,05:12:00,5,0,1,USA,Los Angeles,Crypto Exchange,Credit Card,ATM,19,491,2.6,2125.86,87.41,151,13,11.4,14.21,1,0,0,0,None
TXN0000000017,CUST00067222,28-08-2023,03:03:00,3,0,1,USA,London,Fuel,Bank Transfer,Desktop,48,850,0.3,17628.03,169.83,145,22,32,6.46,0,0,0,0,None
TXN0000000018,CUST00064821,08-09-2022,20:03:00,20,0,0,France,Mumbai,Online Shopping,Credit Card,Mobile,46,750,3.4,62363.12,48.72,148,20,5.2,5.96,0,0,0,0,None
TXN0000000019,CUST00000770,27-04-2023,12:28:00,12,0,0,India,Sydney,Healthcare,Credit Card,Desktop,35,645,1.3,37309.95,16.3,150,24,9.9,12.33,0,0,0,0,None
TXN0000000020,CUST00059736,06-12-2022,08:54:00,8,0,0,USA,Osaka,Clothing,Credit Card,Mobile,30,728,3.3,4328.88,218.76,139,20,46.4,23.58,0,2,0,0,None
TXN0000000021,CUST00194028,23-01-2021,06:03:00,6,1,1,USA,Manchester,Online Shopping,Credit Card,Desktop,18,713,6.5,1268.42,31.09,127,16,2.2,4.88,0,0,0,0,None
TXN0000000022,CUST00064926,13-09-2024,17:57:00,17,0,0,Mexico,New York,ATM Withdrawal,Debit Card,Desktop,33,739,1.9,29532.27,280.27,115,27,9.5,12.8,0,0,0,0,None
TXN0000000023,CUST00199042,22-10-2021,00:02:00,0,0,1,India,São Paulo,Utilities,Bank Transfer,Mobile,43,404,2,56214.4,88.61,165,12,3.8,12.44,1,0,0,0,None
TXN0000000024,CUST00005312,17-08-2024,04:59:00,4,1,1,USA,Toronto,Fuel,Bank Transfer,Desktop,28,685,23.9,1585.69,98.78,129,16,0.3,1.07,0,0,0,0,None
TXN0000000025,CUST00103356,09-09-2024,11:52:00,11,0,0,USA,London,Utilities,Credit Card,POS Terminal,47,717,12.3,4613.25,56.16,127,23,1.9,15.13,0,0,1,0,None
TXN0000000026,CUST00184780,03-05-2023,03:40:00,3,0,1,Australia,Vancouver,Clothing,Crypto,Mobile,41,675,3.9,2318.66,111.26,144,22,23.5,9.2,0,0,0,0,None
TXN0000000027,CUST00085306,15-01-2023,05:44:00,5,1,1,UK,New York,Clothing,Bank Transfer,Desktop,48,616,2.7,11064.5,13.6,145,21,2,0.54,0,0,0,0,None
TXN0000000028,CUST00159766,09-06-2021,02:31:00,2,0,1,Japan,São Paulo,Crypto Exchange,Bank Transfer,POS Terminal,54,687,7.3,1985.95,26.33,136,26,0.9,1.23,1,5,0,1,Synthetic Identity
TXN0000000029,CUST00130609,25-02-2022,11:07:00,11,0,0,Mexico,Vancouver,Restaurant,Debit Card,POS Terminal,29,730,7,49900.06,143.43,166,19,4.3,1.22,0,0,0,0,None
TXN0000000030,CUST00156731,28-08-2023,18:10:00,18,0,0,Germany,Berlin,ATM Withdrawal,Credit Card,Mobile,30,850,4.6,870.06,58.65,134,26,4.5,21.35,0,1,1,0,None
TXN0000000031,CUST00084479,15-06-2022,03:22:00,3,0,1,Canada,Munich,Clothing,Cheque,Mobile,47,635,0.1,19469.92,76.4,148,14,103.7,15.53,0,0,0,0,None
TXN0000000032,CUST00122538,20-05-2024,17:05:00,17,0,0,UK,Manchester,Online Shopping,Debit Card,Mobile,26,657,0.5,19788.99,65.96,143,24,6.7,15.43,0,0,0,0,None
TXN0000000033,CUST00149504,26-10-2021,01:13:00,1,0,1,Germany,Manchester,Clothing,Debit Card,Tablet,47,735,2.8,72621.56,10.26,158,17,7.8,25.81,0,0,0,0,None
TXN0000000034,CUST00130524,15-08-2023,02:46:00,2,0,1,India,Vancouver,ATM Withdrawal,Debit Card,Tablet,25,664,3.4,19938.54,168.15,152,28,4.2,8.42,1,0,0,0,None
